,C,D,F,F_stderr,a,color,dataset,lambdaem,lambdaex,n,r0,r0_stderr,tf,tf_stderr,v,w0,w0_stderr
0,0.8289059999999999,419.01,0.1,0,0.522,B,BR00781,0.519,0.488,1.33,0.1732905794772396,0,1e-09,0,1.4340444110623571,0.2457378696735541,0
1,0.8125,400.7,0.1,0,0.652,R,BR00781,0.657,0.633,1.33,0.22492767653697074,0,1e-09,0,3.2789188639526428,0.3446585907532014,0
2,1.6578119999999998,419.01,0.1,0,0.522,B,BR01562,0.519,0.488,1.33,0.17540273257631517,0,1e-09,0,1.441481879440768,0.2416251693324103,0
3,1.625,400.7,0.1,0,0.652,R,BR01562,0.657,0.633,1.33,0.2124394093246953,0,1e-09,0,3.0882352010132594,0.3530572776367231,0
4,3.315625,419.01,0.1,0,0.522,B,BR03125,0.519,0.488,1.33,0.1727178520884501,0,1e-09,0,1.4300796273937932,0.24643424859044327,0
5,3.25,400.7,0.1,0,0.652,R,BR03125,0.657,0.633,1.33,0.20286062177714848,0,1e-09,0,2.887067737065034,0.3527967250426846,0
6,6.63125,419.01,0.1,0,0.522,B,BR06250,0.519,0.488,1.33,0.18190984580947994,0,1e-09,0,1.5618171095691895,0.24890865914457386,0
7,6.5,400.7,0.1,0,0.652,R,BR06250,0.657,0.633,1.33,0.21595377521069872,0,1e-09,0,3.285030608310672,0.3661691015131602,0
8,13.2625,419.01,0.1,0,0.522,B,BR12500,0.519,0.488,1.33,0.17160586212293225,0,1e-09,0,1.4577047772789575,0.25494307944780703,0
9,13.0,400.7,0.1,0,0.652,R,BR12500,0.657,0.633,1.33,0.19051498882751175,0,1e-09,0,2.785646210972344,0.36991541619772733,0
